1,Bamboo Cutting Board,13.22,Doce,Male,102.124.126.46
2,Strawberry Fruit Spread,26.94,Combos. Saudáveis,Male,67.250.77.106
3,Grapes (red),44.37,Bebida,Male,217.17.148.203
4,Tactical Backpack,84.98,Bebida,Female,229.216.18.153
5,Cranberry Almond Granola,38.56,Salgado,Female,200.138.153.182
6,Basketball,9.98,Bebida,Female,13.22.190.76
7,Lemon Dill Salmon,91.45,Doce,Agender,245.75.128.248
8,Home Brewing Starter Kit,58.76,Doce,Male,29.103.92.124
9,Garlic Herb Seasoning,87.64,Doce,Female,59.218.59.83
10,Wireless Earbuds Case,48.17,Bebida,Non-binary,243.90.43.81
11,Frozen Berry Medley,76.99,Doce,Male,171.64.244.204
12,Portable Charger with Solar Panel,92.75,Congelados,Bigender,77.141.209.186
13,Jump Rope with Counter,79.08,Doce,Male,200.82.27.46
14,USB Desk Fan,60.14,Bebida,Male,32.226.11.77
15,Kettle BBQ Grill,48.31,Combos. Saudáveis,Male,166.31.38.239
16,Wireless HDMI Receiver,61.04,Doce,Male,24.95.255.0
17,High-Speed Hand Blender,78.96,Bebida,Male,87.169.155.250
18,Peach Slices in Syrup,37.17,Congelados,Male,231.186.165.209
19,Non-Stick Grill Pan,41.12,Doce,Female,118.82.149.239
20,Coconut Water,29.26,Doce,Female,148.196.103.247
21,Ceramic Knife Set,11.15,Bebida,Female,28.134.103.161
22,Kids' Educational Tablet,79.59,Bebida,Female,69.199.159.143
23,Beef Chili,69.06,Congelados,Female,15.241.239.21
24,Sweet Potatoes (organic),97.72,Bebida,Female,14.134.53.121
25,Habanero Hot Sauce,77.67,Congelados,Female,119.142.50.101
26,Frozen Hash Browns,12.48,Congelados,Female,197.179.25.159
27,Brown Sugar,62.94,Doce,Male,209.70.217.113
28,Sour Cream,65.54,Congelados,Female,175.78.215.209
29,Sea Salt Tortilla Chips,93.79,Combos. Saudáveis,Male,220.171.20.124
30,Kids' STEM Robotics Kit,30.01,Salgado,Female,217.175.21.52
31,Cereal Dispenser with Portion Control,64.36,Combos. Saudáveis,Female,219.73.148.15
32,Compact Refrigerator,7.97,Combos. Saudáveis,Male,51.73.25.25
33,Peanut Butter Pretzel Bites,13.08,Congelados,Male,91.65.250.25
34,Portable Air Conditioner,99.91,Combos. Saudáveis,Male,35.107.236.103
35,Sporty Slide Sandals,84.16,Bebida,Male,174.51.212.197
36,Cinnamon Sugar Mix,35.81,Congelados,Male,213.145.247.39
37,Classic Black Dress,69.14,Combos. Saudáveis,Male,105.209.249.6
38,Adjustable Kitchen Broom Stand,32.36,Bebida,Agender,103.71.96.242
39,Noise Cancelling Ear Muffs,12.99,Salgado,Genderqueer,59.178.254.196
40,Butternut Squash Soup,27.32,Bebida,Female,68.195.203.210
41,Reusable Silicone Food Storage Bags,21.38,Doce,Male,36.171.183.182
42,Premium Flashlight,16.53,Doce,Male,183.213.200.254
43,Chocolate Avocado Pudding,72.04,Congelados,Genderqueer,249.253.5.3
44,Caribbean Jerk Marinade,57.25,Salgado,Male,201.16.108.243
45,Window Bird Feeder,32.09,Doce,Male,142.102.201.175
46,Smart Light Switch,36.52,Congelados,Female,97.227.174.45
47,Window Blinds,15.94,Doce,Male,88.175.106.236
48,Beef Stew Meat,31.44,Doce,Female,145.250.14.198
49,Maple Glazed Carrots,75.48,Bebida,Female,9.69.233.238
50,Electric Food Slicer,36.21,Salgado,Male,64.238.13.228
51,Smart Water Bottle with Hydration Reminder,57.27,Congelados,Female,239.143.122.134
52,Camera Tripod,49.31,Salgado,Female,192.190.191.234
53,Coconut Curry Chicken,33.28,Salgado,Female,233.79.227.226
54,Screen Cleaning Kit,30.07,Salgado,Male,20.13.167.211
55,Saffron Rice Mix,28.09,Doce,Female,144.9.178.214
56,Woven Storage Baskets,80.0,Bebida,Male,214.216.43.148
57,Tomato Paste,34.73,Salgado,Female,42.128.24.225
58,Smart Doorbell,99.19,Bebida,Female,250.206.252.35
59,Honey Garlic Sauce,22.99,Salgado,Male,6.240.126.125
60,Incense Holder,17.17,Combos. Saudáveis,Genderqueer,107.17.138.100
61,Portable Blender,89.71,Doce,Female,187.131.19.82
62,Portable Massage Gun,47.61,Combos. Saudáveis,Male,208.20.206.154
63,Motion Sensor Light,26.0,Bebida,Male,108.99.75.204
64,Tofu,86.67,Combos. Saudáveis,Female,110.236.29.159
65,Infrared Thermometer Gun,76.6,Bebida,Female,178.120.150.121
66,Chocolate Mint Cookies,69.36,Combos. Saudáveis,Female,138.181.3.244
